id,text_length,language
76797C,427,Dutch
76860B,385,Dutch
72572A,388,Dutch
71104A,437,Dutch
70146B,386,Dutch
72524A,352,Dutch
68179C,484,Dutch
68699B,403,Dutch
72279A,350,Dutch
70869B,406,Dutch
76586D,490,Dutch
77389B,505,Dutch
77173A,472,Dutch
72465C,406,Dutch
68008B,436,Dutch
76464A,492,Dutch
77109B,428,Dutch
75815C,446,Dutch
71950B,460,Dutch
69291D,391,Dutch
73349D,415,Dutch
69797C,345,Dutch
68131A,501,Dutch
77922B,367,Dutch
78333A,439,Dutch
71231A,429,Dutch
77318B,503,Dutch
79279A,336,Dutch
69083D,471,Dutch
80268B,501,Dutch
67062A,280,Dutch
79836C,443,Dutch
68214B,502,Dutch
68164B,344,Dutch
74368A,385,Dutch
79764B,466,Dutch
72336B,353,Dutch
75554B,456,Dutch
70147C,400,Dutch
79049B,487,Dutch
77366A,405,Dutch
77925A,456,Dutch
74817C,419,Dutch
72447F,475,Dutch
73516A,383,Dutch
72786A,416,Dutch
75106C,390,Dutch
72827B,367,Dutch
75170E,482,Dutch
73642C,402,Dutch
74059B,386,Dutch
69601B,394,Dutch
78065C,367,Dutch
73183A,460,Dutch
71384A,354,Dutch
74884A,452,Dutch
78250E,439,Dutch
70047C,418,Dutch
70640B,442,Dutch
74927A,359,Dutch
72169F,447,Dutch
71562B,482,Dutch
75186D,383,Dutch
79433C,436,Dutch
71004D,454,Dutch
72085B,355,Dutch
71734A,424,Dutch
73494B,384,Dutch
72656A,390,Dutch
79529C,403,Dutch
69609D,403,Dutch
76318C,467,Dutch
68236A,422,Dutch
78096C,415,Dutch
72363B,481,Dutch
72582,239,Dutch
76008B,476,Dutch
67576B,489,Dutch
78204B,364,Dutch
69437A,403,Dutch
78296B,457,Dutch
72356A,473,Dutch
79755A,512,Dutch
74098B,388,Dutch
75170A,482,Dutch
78531D,419,Dutch
75471B,421,Dutch
71599A,398,Dutch
71098C,437,Dutch
77814B,304,Dutch
79321B,397,Dutch
76299B,353,Dutch
73362B,456,Dutch
77473D,415,Dutch
76995C,486,Dutch
78313C,417,Dutch
68380A,456,Dutch
67683C,391,Dutch
78722A,380,Dutch
77717E,478,Dutch
72127C,370,Dutch
77224A,440,Dutch
71853C,391,Dutch
74914B,356,Dutch
75244B,433,Dutch
75799C,376,Dutch
73867B,510,Dutch
67537B,473,Dutch
75121A,506,Dutch
68908C,387,Dutch
70185A,474,Dutch
68430A,370,Dutch
78405B,443,Dutch
73688B,478,Dutch
71672B,296,Dutch
76112A,422,Dutch
74548C,508,Dutch
78571C,448,Dutch
76670C,491,Dutch
78694C,495,Dutch
75727D,393,Dutch
74077A,479,Dutch
79910D,427,Dutch
71812C,444,Dutch
78690B,324,Dutch
67911B,392,Dutch
78267C,502,Dutch
77523B,409,Dutch
76129A,390,Dutch
74886A,438,Dutch
70137B,481,Dutch
70236C,448,Dutch
71242C,457,Dutch
75522A,465,Dutch
76916B,386,Dutch
75588B,412,Dutch
72307A,469,Dutch
77571B,435,Dutch
76190,212,Dutch
69724A,448,Dutch
74670B,437,Dutch
79584C,392,Dutch
74272B,359,Dutch
69109C,423,Dutch
72998D,429,Dutch
69224B,350,Dutch
68207A,456,Dutch
78675A,339,Dutch
67966A,400,Dutch
80188D,413,Dutch
73747C,436,Dutch
78690A,325,Dutch
77664C,417,Dutch
77858B,495,Dutch
78882C,398,Dutch
76523C,495,Dutch
67410C,470,Dutch
69818C,460,Dutch
71668B,332,Dutch
77458A,358,Dutch
71254A,420,Dutch
70842C,389,Dutch
76741A,267,Dutch
75425A,353,Dutch
70596A,372,Dutch
67406C,405,Dutch
70349B,424,Dutch
70475B,338,Dutch
72387A,351,Dutch
69860C,354,Dutch
67308A,349,Dutch
69330B,387,Dutch
76934B,498,Dutch
74303B,267,Dutch
71173A,368,Dutch
79842C,416,Dutch
70029A,450,Dutch
72963E,409,Dutch
68257,400,Dutch
80097C,397,Dutch
67601C,490,Dutch
71845A,394,Dutch
76742B,479,Dutch
71570,404,Dutch
77042A,323,Dutch
76619B,387,Dutch
75425C,353,Dutch
77632B,370,Dutch
70917A,397,Dutch
74971C,471,Dutch
76115C,461,Dutch
67929B,494,Dutch
70174A,394,Dutch
67346A,489,Dutch
74574A,337,Dutch
73773A,443,Dutch
68584C,463,Dutch
79628,408,Dutch
75893B,415,Dutch
75396C,426,Dutch
52756C,468,English
50777B,428,English
51082C,365,English
49455A,449,English
46440A,347,English
41319C,434,English
44796A,472,English
53156B,495,English
44125C,447,English
53099C,432,English
49237B,504,English
46307A,491,English
51782B,474,English
46157A,442,English
50678D,465,English
45039C,413,English
43054C,453,English
44285A,362,English
53446B,433,English
50502C,427,English
47778D,434,English
53311B,482,English
41715C,416,English
51536B,440,English
42054B,403,English
50816B,354,English
42479C,469,English
52469B,505,English
46582E,441,English
41299B,385,English
49217C,457,English
47102B,398,English
45917A,452,English
46335B,498,English
45919B,401,English
44114,472,English
46005B,393,English
50336B,332,English
42944B,454,English
44297C,497,English
49108,488,English
51907A,277,English
50739C,432,English
42127C,427,English
46596A,431,English
43870B,439,English
47858B,511,English
46190A,347,English
49170A,501,English
43106B,456,English
45228L,505,English
48113C,463,English
44417B,482,English
53397D,467,English
48053A,462,English
53517A,366,English
52178B,348,English
41885C,374,English
41549B,464,English
50139D,445,English
49189B,447,English
46578B,486,English
41491A,353,English
42035B,426,English
51852C,458,English
53520D,416,English
50753A,392,English
45645B,399,English
50880E,431,English
42020C,387,English
51858B,381,English
45185C,396,English
48109A,478,English
51521A,446,English
44341B,391,English
47464A,461,English
49488C,405,English
47817E,490,English
47679A,389,English
52462C,345,English
46789A,346,English
47861B,449,English
51571A,451,English
51163A,465,English
40867B,501,English
43590D,452,English
53528D,394,English
50924C,394,English
42642D,466,English
51339C,436,English
46766C,363,English
40897A,383,English
41699A,306,English
43405B,448,English
50179A,490,English
43734A,359,English
52886C,446,English
49726B,475,English
49538B,436,English
46212C,418,English
42612A,447,English
52276A,394,English
49190A,468,English
52936A,454,English
52059B,453,English
42184B,393,English
52256A,482,English
49795B,363,English
47900A,456,English
42753B,456,English
46854B,405,English
42209A,398,English
51636B,494,English
47059C,495,English
48469B,420,English
41239D,427,English
40959B,435,English
45031B,385,English
50886B,360,English
45466B,368,English
46123,506,English
43178B,498,English
49708B,372,English
52023A,344,English
46431A,392,English
43079A,471,English
44049C,409,English
42030A,416,English
44776C,457,English
47209F,427,English
42164C,490,English
51626B,462,English
47717B,489,English
46706A,431,English
46645B,507,English
45104A,480,English
44626E,414,English
52169B,409,English
50572D,387,English
43953A,472,English
42029B,482,English
47323B,351,English
48429B,300,English
43739B,458,English
44019C,433,English
53498B,481,English
46070B,475,English
47531A,454,English
47908C,474,English
50261C,377,English
51175A,485,English
49128C,465,English
50370D,490,English
44995C,504,English
47733D,419,English
42007B,365,English
47646B,331,English
45122B,405,English
47429A,291,English
41005A,389,English
52321A,344,English
51239A,416,English
43225E,483,English
44378B,372,English
